Start,End,Priority,Status,Reason
2015-12-04T00:48:44, 2015-12-04T00:53:44,  90.0,  COMPLETE+FINISHED,  Partial MP
2015-12-04T01:48:14, 2015-12-04T01:52:44,  115.0,  COMPLETE+FINISHED,  MP
2015-12-04T01:52:54, 2015-12-04T01:55:34,  140.0,  COMPLETE+FINISHED,  MP
2015-12-04T02:05:54, 2015-12-04T02:08:14,  125.0,  COMPLETE+FINISHED,  MP
2015-12-04T02:13:04, 2015-12-04T02:17:04,  70.0,  COMPLETE+FINISHED,  Partial MP
2015-12-04T02:32:54, 2015-12-04T02:36:54,  75.0,  COMPLETE+FINISHED,  MSH CS
2015-12-04T02:44:24, 2015-12-04T02:48:04,  90.0,  COMPLETE+FINISHED,  Partial MP
2015-12-04T03:07:04, 2015-12-04T03:09:44,  70.0,  COMPLETE+FINISHED,  MSH CS
2015-12-04T03:11:44, 2015-12-04T03:14:14,  70.0,  COMPLETE+FINISHED,  MSH CS
2015-12-04T03:28:04, 2015-12-04T03:31:14,  70.0,  DEMOTED+FINISHED,  MSH CS
2015-12-04T03:42:24, 2015-12-04T03:48:14,  70.0,  DEMOTED+FINISHED,  MSH CS
2015-12-04T03:52:24, 2015-12-04T03:53:44,  70.0,  DEMOTED+FINISHED,  MSH CS
2015-12-04T04:30:24, 2015-12-04T04:34:24,  70.0,  DEMOTED+FINISHED,  MSH CS
2015-12-04T05:55:34, 2015-12-04T05:57:24,  65.0,  DERELICT+FINISHED,  MSH CS
2015-12-04T08:38:34, 2015-12-04T08:41:04,  75.0,  COMPLETE+FINISHED,  MSH CS
2015-12-04T08:47:34, 2015-12-04T08:49:04,  70.0,  DEMOTED+FINISHED,  MSH CS
2015-12-04T08:49:14, 2015-12-04T08:51:44,  70.0,  DEMOTED+FINISHED,  Fill MS CS
2015-12-04T08:51:54, 2015-12-04T08:53:34,  70.0,  DEMOTED+FINISHED,  MSH CS
2015-12-04T10:13:24, 2015-12-04T10:14:24,  70.0,  DEMOTED+FINISHED,  FTE
2015-12-04T10:20:44, 2015-12-04T10:27:44,  105.0,  COMPLETE+FINISHED,  MP
2015-12-04T10:27:54, 2015-12-04T10:34:44,  105.0,  COMPLETE+FINISHED,  MP
2015-12-04T10:34:54, 2015-12-04T10:41:54,  105.0,  COMPLETE+FINISHED,  MP
2015-12-04T10:45:14, 2015-12-04T10:45:54,  60.0,  DERELICT+FINISHED,  Partial MP or BL w/jet
2015-12-04T10:56:54, 2015-12-04T10:59:24,  60.0,  DERELICT+FINISHED,  Partial MP
2015-12-04T11:00:44, 2015-12-04T11:03:04,  60.0,  DERELICT+FINISHED,  Partial MP
2015-12-04T11:05:54, 2015-12-04T11:12:34,  60.0,  DERELICT+FINISHED,  Partial MP
2015-12-04T23:50:54, 2015-12-04T23:52:14,  80.0,  COMPLETE+FINISHED,  FTE
2015-12-04T23:50:54, 2015-12-04T23:52:14,  80.0,  COMPLETE+FINISHED,  cold plasma
