,DES_Density,DES_Temperature_para,DES_Temperature_perp,DES_Velocity_x,DES_Velocity_y,DES_Velocity_z,DIS_Density,DIS_Temperature_para,DIS_Temperature_perp,DIS_Velocity_x,DIS_Velocity_y,DIS_Velocity_z,FGM_Magnetic_Field_w,FGM_Magnetic_Field_x,FGM_Magnetic_Field_y,FGM_Magnetic_Field_z,Time
0,0.92787564,538.2481,607.65906,-37.92237,-43.829388,1.3965333,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.55781047239725,8.316022972590872,37.472831652266905,39.5565514335176,2016-10-22 22:00:02.765547
1,0.9482505,526.78674,599.94147,-56.19671,3.2600994,7.514367,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.264023058789565,8.343811206833488,37.493290556861915,39.51187702095254,2016-10-22 22:00:07.265581
2,0.94395137,527.8234,598.90564,-44.476597,-7.9944425,-4.205482,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.1765281022871,8.571750099095052,37.44701959344068,39.496363440895344,2016-10-22 22:00:11.765607
3,0.94632447,525.12946,598.38794,-47.548443,-33.97488,4.956076,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.174197894219105,8.576627410682704,37.465277369716205,39.514188777451636,2016-10-22 22:00:16.265640
4,0.93399304,531.537,603.6418,-33.529827,-10.421502,16.306097,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.170908144632577,8.755015580318764,37.38955302564204,39.480812519389026,2016-10-22 22:00:20.765667
5,0.94961923,519.2952,599.1347,-67.02913,-17.788353,25.647991,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.3810772255684,8.840586775235447,37.34560999951862,39.50765636325699,2016-10-22 22:00:25.265700
6,0.9401033,531.7066,609.3114,-56.36478,-44.99377,20.291767,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.439085155430803,9.047711937699205,37.1837320747436,39.41557357129932,2016-10-22 22:00:29.765726
7,0.932421,556.76306,630.8636,-59.999733,-4.6218805,16.745094,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.825987261451974,9.016434914763417,37.098283194741825,39.42243835157254,2016-10-22 22:00:34.265759
8,0.90104026,589.22974,665.2734,-44.214874,15.412393,13.353513,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.890748517041837,9.12105674444033,36.87375621809333,39.251679273513645,2016-10-22 22:00:38.765786
9,0.9009694,607.8204,677.85614,-64.35711,-22.554344,21.013996,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-10.27381080664054,9.209641229077533,36.914905686397105,39.409121646371204,2016-10-22 22:00:43.265818
10,0.9034315,611.654,673.77435,-100.896324,-0.992537,21.275799,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-10.473141994686154,9.241941981635241,36.88023409153767,39.43668288657217,2016-10-22 22:00:47.765844
11,0.8979175,620.95404,675.3032,-78.9126,-33.94054,8.30059,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-10.635604781816806,9.475911312835146,37.03737940779047,39.682190359489354,2016-10-22 22:00:52.265877
12,0.89889413,630.71185,674.77515,-46.52717,12.921408,22.117662,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-11.162968041593558,9.582359626343532,37.1486450053053,39.95566668844549,2016-10-22 22:00:56.765904
13,0.88195753,660.0907,705.88763,-72.641426,15.311825,16.877913,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-11.082934175778313,10.044333317821783,36.99033399810173,39.89993527949017,2016-10-22 22:01:01.265936
14,0.8889741,659.2374,705.7387,-117.024704,-22.963005,42.704502,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-11.414347550571296,10.104123708113601,37.349056470029794,40.340212091771036,2016-10-22 22:01:05.765963
15,0.8972817,653.96173,699.7305,-79.774,-5.1353326,41.443665,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-11.497929787277826,10.41792186654493,37.27218921510212,40.37265840379405,2016-10-22 22:01:10.265996
16,0.90265137,658.822,703.01196,-27.779922,-13.879125,34.667675,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-11.158112503646747,10.178752245831639,37.73154058442888,40.6420897032243,2016-10-22 22:01:14.766022
17,0.88090146,678.69635,727.3973,-70.02476,36.16357,26.864056,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-11.459355434969117,10.350039255619595,37.99650419150743,41.014320718934144,2016-10-22 22:01:19.266054
18,0.89360315,665.912,719.6412,-96.59065,-5.2223635,43.108223,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-11.303126593043999,10.660984344653116,38.31094945296354,41.341819950932404,2016-10-22 22:01:23.766081
